id,work_title,composer,part_name,voice_type_primary,specialization,part_tier,category,created_at
001938a0-08e7-4cfc-815a-3ec573c71bb3,Wozzeck,Alban Berg,Marie,soprano,lyric_spinto_soprano,lead,opera,2026-04-26 20:22:59.252405
006306d3-11cf-4cf0-8c34-8ecbd110354d,Semele,George Frideric Handel,Soprano Solo,soprano,concert_solo,lead,oratorio,2026-04-27 19:55:04.175513
007c8c04-9a36-4b40-a386-92b003d8930f,Caractacus Op 35,Edward Elgar,Baritone Solo,baritone,concert_solo,lead,oratorio,2026-04-27 19:56:19.320672
00c18222-4082-4cf6-a785-43004b9242be,A Sea Symphony,Ralph Vaughan Williams,Soprano Solo,soprano,concert_solo,lead,symphonic,2026-04-26 20:30:01.34038
00f36783-2fed-4830-8edb-87b33d86a1a3,Tosca,Giacomo Puccini,Sciarrone,baritone,comprimario_baritone,small,opera,2026-04-26 18:54:05.133147
01247a54-fbd6-40c6-9abd-8d1b51ab3733,Der Freischutz,Carl Maria von Weber,Ottokar,baritone,lyric_baritone,small,opera,2026-04-26 20:20:59.436774
014e3565-41a3-403d-be19-807f057bc28a,Boris Godunov,Modest Mussorgsky,Varlaam,bass,buffo_bass,secondary,opera,2026-04-26 19:01:41.337283
016d5682-86d7-4176-afe4-5916eb957bf3,Solomon,George Frideric Handel,Bass Solo,bass,concert_solo,lead,oratorio,2026-04-27 19:53:06.44092
0185d6fe-10ed-4a5c-b9f5-8f8f5fd41087,Mass in D major Op 86,Antonin Dvorak,Tenor Solo,tenor,concert_solo,lead,oratorio,2026-04-27 19:51:55.063557
01ba8df9-d99a-4195-a7c8-bbc44bd2d2c1,Sea Drift,Frederick Delius,Baritone Solo,baritone,concert_solo,lead,oratorio,2026-04-27 19:53:06.44092
01d23494-9346-4aac-9f50-e7cd251a32d5,Scenes from Goethe's Faust,Robert Schumann,Soprano Solo,soprano,concert_solo,lead,oratorio,2026-04-27 20:00:57.351155
01f8c585-6932-465c-a260-47ae19623702,Orfeo ed Euridice,Christoph Willibald Gluck,Amore,soprano,soubrette,secondary,opera,2026-04-26 20:20:59.436774
0204f770-aca4-43b9-9713-647fe22a7099,Saint Ludmila,Antonin Dvorak,Bass Solo,bass,concert_solo,lead,oratorio,2026-04-27 19:53:06.44092
02252595-fbd5-44a9-ad0e-4df4a893b782,Die erste Walpurgisnacht Op 60,Felix Mendelssohn,Tenor Solo,tenor,concert_solo,lead,oratorio,2026-04-27 20:00:57.351155
0271eb19-ea4c-45fa-80cb-eb364bd70b9c,St Matthew Passion,Johann Sebastian Bach,Mezzo-Soprano Solo,mezzo_soprano,concert_solo,lead,oratorio,2026-04-26 20:28:53.719839
0285fadf-4ca1-4ab5-9a0b-dcd256974777,Les Beatitudes,Cesar Franck,Baritone Solo,baritone,concert_solo,lead,oratorio,2026-04-27 19:53:06.44092
02aed56e-c00d-4b54-95df-3f89ceda6c25,Billy Budd,Benjamin Britten,Captain Vere,tenor,lyric_tenor,lead,opera,2026-04-26 20:26:11.596639
02c43fc0-5687-4b3a-915d-88216a3122d7,Esther,George Frideric Handel,Tenor Solo,tenor,concert_solo,lead,oratorio,2026-04-27 20:00:57.351155
0314afb2-0f10-4353-852b-d069184466bc,Luisa Miller,Giuseppe Verdi,Rodolfo,tenor,lyric_tenor,lead,opera,2026-04-26 19:01:41.337283
0333135e-be1a-4da8-9217-8cf642aee22b,Thais,Jules Massenet,Crobyle,soprano,soubrette,small,opera,2026-04-26 20:22:59.252405
0333cd19-2826-4a65-8d0d-92eb4f0f104b,Les Contes d'Hoffmann,Jacques Offenbach,Hoffmann,tenor,lyric_tenor,lead,opera,2026-04-26 18:58:46.291908
034b54af-006c-444c-abdc-c58d623ae60f,Rusalka,Antonin Dvorak,The Prince,tenor,lyric_tenor,lead,opera,2026-04-26 19:01:41.337283
03538a61-4a33-4870-b7db-8508336ab1ab,Adriana Lecouvreur,Francesco Cilea,Dangeville,mezzo_soprano,lyric_mezzo,small,opera,2026-04-26 19:01:41.337283
0381a2b8-9096-410c-856b-738a5452722f,Ariadne auf Naxos,Richard Strauss,Zerbinetta,soprano,coloratura_soprano,secondary,opera,2026-04-26 20:20:59.436774
04535745-1b82-4eb1-8088-196570d47ee1,Adriana Lecouvreur,Francesco Cilea,Maurizio,tenor,spinto_tenor,lead,opera,2026-04-26 19:01:41.337283
